comparison,problem_id,difficulty,source_passed,source_test_pass_ratio,target_passed,target_test_pass_ratio,transition,test_pass_ratio_delta
Direct_TO_Self-Plan,1873_A,easy,False,0.6,False,0.6,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,1873_B,easy,False,0.9230769230769231,False,0.0,FAIL_TO_FAIL,-0.9230769230769231
Direct_TO_Self-Plan,1873_D,easy,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,1883_B,medium,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,1883_C,medium,False,0.0,False,0.6153846153846154,FAIL_TO_FAIL,0.6153846153846154
Direct_TO_Self-Plan,1899_A,easy,True,1.0,False,0.15384615384615385,PASS_TO_FAIL,-0.8461538461538461
Direct_TO_Self-Plan,1899_B,hard,False,0.15384615384615385,False,0.0,FAIL_TO_FAIL,-0.15384615384615385
Direct_TO_Self-Plan,1899_C,hard,False,0.6153846153846154,False,0.46153846153846156,FAIL_TO_FAIL,-0.15384615384615385
Direct_TO_Self-Plan,1899_D,hard,False,0.9230769230769231,False,0.9230769230769231,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc301_a,easy,False,0.8666666666666667,False,0.8666666666666667,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc301_b,easy,False,0.3,False,0.3,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc301_c,medium,False,0.5625,False,0.25,FAIL_TO_FAIL,-0.3125
Direct_TO_Self-Plan,abc301_d,medium,False,0.13333333333333333,False,0.26666666666666666,FAIL_TO_FAIL,0.13333333333333333
Direct_TO_Self-Plan,abc301_e,hard,False,0.3333333333333333,False,0.0,FAIL_TO_FAIL,-0.3333333333333333
Direct_TO_Self-Plan,abc301_f,hard,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc302_a,easy,True,1.0,False,0.7333333333333333,PASS_TO_FAIL,-0.2666666666666667
Direct_TO_Self-Plan,abc302_b,medium,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc302_c,medium,False,0.13333333333333333,False,0.4666666666666667,FAIL_TO_FAIL,0.33333333333333337
Direct_TO_Self-Plan,abc302_d,medium,False,0.3125,False,0.5,FAIL_TO_FAIL,0.1875
Direct_TO_Self-Plan,abc302_e,hard,False,0.07142857142857142,False,0.0,FAIL_TO_FAIL,-0.07142857142857142
Direct_TO_Self-Plan,abc302_f,hard,False,0.3125,False,0.0625,FAIL_TO_FAIL,-0.25
Direct_TO_Self-Plan,abc303_a,easy,False,0.5333333333333333,True,1.0,FAIL_TO_PASS,0.4666666666666667
Direct_TO_Self-Plan,abc303_b,easy,False,0.14285714285714285,False,0.0,FAIL_TO_FAIL,-0.14285714285714285
Direct_TO_Self-Plan,abc303_c,medium,False,0.5,False,0.7142857142857143,FAIL_TO_FAIL,0.2142857142857143
Direct_TO_Self-Plan,abc303_d,medium,False,0.4666666666666667,False,0.0,FAIL_TO_FAIL,-0.4666666666666667
Direct_TO_Self-Plan,abc303_e,hard,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc304_a,easy,False,0.0,False,0.14285714285714285,FAIL_TO_FAIL,0.14285714285714285
Direct_TO_Self-Plan,abc304_b,easy,False,0.4375,True,1.0,FAIL_TO_PASS,0.5625
Direct_TO_Self-Plan,abc304_c,medium,False,0.0,False,0.06666666666666667,FAIL_TO_FAIL,0.06666666666666667
Direct_TO_Self-Plan,abc304_d,medium,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc304_e,hard,False,0.07692307692307693,False,0.0,FAIL_TO_FAIL,-0.07692307692307693
Direct_TO_Self-Plan,abc305_a,easy,True,1.0,False,0.1,PASS_TO_FAIL,-0.9
Direct_TO_Self-Plan,abc305_b,easy,False,0.0,True,1.0,FAIL_TO_PASS,1.0
Direct_TO_Self-Plan,abc305_c,medium,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc305_d,hard,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc305_e,hard,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc306_a,easy,True,1.0,True,1.0,PASS_TO_PASS,0.0
Direct_TO_Self-Plan,abc306_b,easy,False,0.14285714285714285,True,1.0,FAIL_TO_PASS,0.8571428571428572
Direct_TO_Self-Plan,abc306_c,medium,True,1.0,False,0.2,PASS_TO_FAIL,-0.8
Direct_TO_Self-Plan,abc306_d,medium,False,0.5333333333333333,False,0.4666666666666667,FAIL_TO_FAIL,-0.06666666666666665
Direct_TO_Self-Plan,abc306_e,hard,False,0.07692307692307693,False,0.07692307692307693,FAIL_TO_FAIL,0.0
Direct_TO_Self-Plan,abc307_a,easy,True,1.0,True,1.0,PASS_TO_PASS,0.0
Direct_TO_Self-Plan,abc307_b,easy,False,0.8,True,1.0,FAIL_TO_PASS,0.19999999999999996
Direct_TO_Self-Plan,abc307_c,medium,False,0.5625,False,0.5,FAIL_TO_FAIL,-0.0625
Direct_TO_Self-Plan,abc307_d,medium,False,0.3125,False,0.5625,FAIL_TO_FAIL,0.25
Direct_TO_Self-Plan,abc307_e,hard,False,0.2,False,0.26666666666666666,FAIL_TO_FAIL,0.06666666666666665
Direct_TO_Self-Plan,abc308_a,easy,True,1.0,True,1.0,PASS_TO_PASS,0.0
Direct_TO_Self-Plan,abc308_b,easy,False,0.08333333333333333,False,0.0,FAIL_TO_FAIL,-0.08333333333333333
Direct_TO_Self-Plan,abc308_c,medium,False,0.06666666666666667,False,0.0,FAIL_TO_FAIL,-0.06666666666666667
Direct_TO_Self-Plan,abc308_d,medium,False,0.5333333333333333,False,0.0,FAIL_TO_FAIL,-0.5333333333333333
Direct_TO_Teacher-Plan,1873_A,easy,False,0.6,True,1.0,FAIL_TO_PASS,0.4
Direct_TO_Teacher-Plan,1873_B,easy,False,0.9230769230769231,True,1.0,FAIL_TO_PASS,0.07692307692307687
Direct_TO_Teacher-Plan,1873_D,easy,False,0.0,True,1.0,FAIL_TO_PASS,1.0
Direct_TO_Teacher-Plan,1883_B,medium,False,0.0,True,1.0,FAIL_TO_PASS,1.0
Direct_TO_Teacher-Plan,1883_C,medium,False,0.0,False,0.38461538461538464,FAIL_TO_FAIL,0.38461538461538464
Direct_TO_Teacher-Plan,1899_A,easy,True,1.0,True,1.0,PASS_TO_PASS,0.0
Direct_TO_Teacher-Plan,1899_B,hard,False,0.15384615384615385,False,0.0,FAIL_TO_FAIL,-0.15384615384615385
Direct_TO_Teacher-Plan,1899_C,hard,False,0.6153846153846154,True,1.0,FAIL_TO_PASS,0.3846153846153846
Direct_TO_Teacher-Plan,1899_D,hard,False,0.9230769230769231,True,1.0,FAIL_TO_PASS,0.07692307692307687
Direct_TO_Teacher-Plan,abc301_a,easy,False,0.8666666666666667,False,0.6666666666666666,FAIL_TO_FAIL,-0.20000000000000007
Direct_TO_Teacher-Plan,abc301_b,easy,False,0.3,False,0.3,FAIL_TO_FAIL,0.0
Direct_TO_Teacher-Plan,abc301_c,medium,False,0.5625,False,0.6875,FAIL_TO_FAIL,0.125
Direct_TO_Teacher-Plan,abc301_d,medium,False,0.13333333333333333,False,0.0,FAIL_TO_FAIL,-0.13333333333333333
Direct_TO_Teacher-Plan,abc301_e,hard,False,0.3333333333333333,False,0.0,FAIL_TO_FAIL,-0.3333333333333333
Direct_TO_Teacher-Plan,abc301_f,hard,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Teacher-Plan,abc302_a,easy,True,1.0,True,1.0,PASS_TO_PASS,0.0
Direct_TO_Teacher-Plan,abc302_b,medium,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Teacher-Plan,abc302_c,medium,False,0.13333333333333333,True,1.0,FAIL_TO_PASS,0.8666666666666667
Direct_TO_Teacher-Plan,abc302_d,medium,False,0.3125,True,1.0,FAIL_TO_PASS,0.6875
Direct_TO_Teacher-Plan,abc302_e,hard,False,0.07142857142857142,False,0.0,FAIL_TO_FAIL,-0.07142857142857142
Direct_TO_Teacher-Plan,abc302_f,hard,False,0.3125,False,0.0,FAIL_TO_FAIL,-0.3125
Direct_TO_Teacher-Plan,abc303_a,easy,False,0.5333333333333333,True,1.0,FAIL_TO_PASS,0.4666666666666667
Direct_TO_Teacher-Plan,abc303_b,easy,False,0.14285714285714285,True,1.0,FAIL_TO_PASS,0.8571428571428572
Direct_TO_Teacher-Plan,abc303_c,medium,False,0.5,False,0.5714285714285714,FAIL_TO_FAIL,0.0714285714285714
Direct_TO_Teacher-Plan,abc303_d,medium,False,0.4666666666666667,False,0.06666666666666667,FAIL_TO_FAIL,-0.4
Direct_TO_Teacher-Plan,abc303_e,hard,False,0.0,True,1.0,FAIL_TO_PASS,1.0
Direct_TO_Teacher-Plan,abc304_a,easy,False,0.0,False,0.35714285714285715,FAIL_TO_FAIL,0.35714285714285715
Direct_TO_Teacher-Plan,abc304_b,easy,False,0.4375,True,1.0,FAIL_TO_PASS,0.5625
Direct_TO_Teacher-Plan,abc304_c,medium,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Teacher-Plan,abc304_d,medium,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Teacher-Plan,abc304_e,hard,False,0.07692307692307693,False,0.0,FAIL_TO_FAIL,-0.07692307692307693
Direct_TO_Teacher-Plan,abc305_a,easy,True,1.0,True,1.0,PASS_TO_PASS,0.0
Direct_TO_Teacher-Plan,abc305_b,easy,False,0.0,True,1.0,FAIL_TO_PASS,1.0
Direct_TO_Teacher-Plan,abc305_c,medium,False,0.0,True,1.0,FAIL_TO_PASS,1.0
Direct_TO_Teacher-Plan,abc305_d,hard,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Direct_TO_Teacher-Plan,abc305_e,hard,False,0.0,False,0.2,FAIL_TO_FAIL,0.2
Direct_TO_Teacher-Plan,abc306_a,easy,True,1.0,True,1.0,PASS_TO_PASS,0.0
Direct_TO_Teacher-Plan,abc306_b,easy,False,0.14285714285714285,True,1.0,FAIL_TO_PASS,0.8571428571428572
Direct_TO_Teacher-Plan,abc306_c,medium,True,1.0,False,0.0,PASS_TO_FAIL,-1.0
Direct_TO_Teacher-Plan,abc306_d,medium,False,0.5333333333333333,False,0.5333333333333333,FAIL_TO_FAIL,0.0
Direct_TO_Teacher-Plan,abc306_e,hard,False,0.07692307692307693,False,0.0,FAIL_TO_FAIL,-0.07692307692307693
Direct_TO_Teacher-Plan,abc307_a,easy,True,1.0,True,1.0,PASS_TO_PASS,0.0
Direct_TO_Teacher-Plan,abc307_b,easy,False,0.8,True,1.0,FAIL_TO_PASS,0.19999999999999996
Direct_TO_Teacher-Plan,abc307_c,medium,False,0.5625,False,0.875,FAIL_TO_FAIL,0.3125
Direct_TO_Teacher-Plan,abc307_d,medium,False,0.3125,True,1.0,FAIL_TO_PASS,0.6875
Direct_TO_Teacher-Plan,abc307_e,hard,False,0.2,True,1.0,FAIL_TO_PASS,0.8
Direct_TO_Teacher-Plan,abc308_a,easy,True,1.0,True,1.0,PASS_TO_PASS,0.0
Direct_TO_Teacher-Plan,abc308_b,easy,False,0.08333333333333333,False,0.0,FAIL_TO_FAIL,-0.08333333333333333
Direct_TO_Teacher-Plan,abc308_c,medium,False,0.06666666666666667,False,0.0,FAIL_TO_FAIL,-0.06666666666666667
Direct_TO_Teacher-Plan,abc308_d,medium,False,0.5333333333333333,False,0.5333333333333333,FAIL_TO_FAIL,0.0
Self-Plan_TO_Teacher-Plan,1873_A,easy,False,0.6,True,1.0,FAIL_TO_PASS,0.4
Self-Plan_TO_Teacher-Plan,1873_B,easy,False,0.0,True,1.0,FAIL_TO_PASS,1.0
Self-Plan_TO_Teacher-Plan,1873_D,easy,False,0.0,True,1.0,FAIL_TO_PASS,1.0
Self-Plan_TO_Teacher-Plan,1883_B,medium,False,0.0,True,1.0,FAIL_TO_PASS,1.0
Self-Plan_TO_Teacher-Plan,1883_C,medium,False,0.6153846153846154,False,0.38461538461538464,FAIL_TO_FAIL,-0.23076923076923078
Self-Plan_TO_Teacher-Plan,1899_A,easy,False,0.15384615384615385,True,1.0,FAIL_TO_PASS,0.8461538461538461
Self-Plan_TO_Teacher-Plan,1899_B,hard,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Self-Plan_TO_Teacher-Plan,1899_C,hard,False,0.46153846153846156,True,1.0,FAIL_TO_PASS,0.5384615384615384
Self-Plan_TO_Teacher-Plan,1899_D,hard,False,0.9230769230769231,True,1.0,FAIL_TO_PASS,0.07692307692307687
Self-Plan_TO_Teacher-Plan,abc301_a,easy,False,0.8666666666666667,False,0.6666666666666666,FAIL_TO_FAIL,-0.20000000000000007
Self-Plan_TO_Teacher-Plan,abc301_b,easy,False,0.3,False,0.3,FAIL_TO_FAIL,0.0
Self-Plan_TO_Teacher-Plan,abc301_c,medium,False,0.25,False,0.6875,FAIL_TO_FAIL,0.4375
Self-Plan_TO_Teacher-Plan,abc301_d,medium,False,0.26666666666666666,False,0.0,FAIL_TO_FAIL,-0.26666666666666666
Self-Plan_TO_Teacher-Plan,abc301_e,hard,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Self-Plan_TO_Teacher-Plan,abc301_f,hard,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
Self-Plan_TO_Teacher-Plan,abc302_a,easy,False,0.7333333333333333,True,1.0,FAIL_TO_PASS,0.2666666666666667
Self-Plan_TO_Teacher-Plan,abc302_b,medium,False,0.0,False,0.0,FAIL_TO_FAIL,0.0
