problem_id,title,difficulty,passed_direct,status_direct,test_pass_ratio_direct,prompt_tokens_direct,completion_tokens_direct,total_tokens_direct,generation_time_direct,execution_time_direct,total_runtime_direct,passed_self_plan,status_self_plan,test_pass_ratio_self_plan,prompt_tokens_self_plan,completion_tokens_self_plan,total_tokens_self_plan,generation_time_self_plan,execution_time_self_plan,total_runtime_self_plan,passed_teacher_plan,status_teacher_plan,test_pass_ratio_teacher_plan,prompt_tokens_teacher_plan,completion_tokens_teacher_plan,total_tokens_teacher_plan,generation_time_teacher_plan,execution_time_teacher_plan,total_runtime_teacher_plan,direct_self_teacher_pattern
1873_A,A. Short Sort,easy,False,WRONG_ANSWER,0.6,496,138,634,1.4541064179502428,0.025900165957864374,1.4800065839081071,False,WRONG_ANSWER,0.6,1339,454,1793,4.401596011011861,0.028015714953653514,4.429611725965515,True,PASS,1.0,594,191,785,1.9607250319677405,0.024850476998835802,1.9855755089665763,F-F-P
1873_B,B. Good Kid,easy,False,WRONG_ANSWER,0.9230769230769231,391,255,646,2.3172306760097854,0.2842092069913633,2.6014398830011487,False,WRONG_ANSWER,0.0,1104,410,1514,3.751268042018637,0.13101111602736637,3.8822791580460034,True,PASS,1.0,585,173,758,1.5873648750130087,0.16339169902494177,1.7507565740379505,F-F-P
1873_D,D. 1D Eraser,easy,False,WRONG_ANSWER,0.0,607,626,1233,5.691110950021539,6.372015137982089,12.063126088003628,False,WRONG_ANSWER,0.0,1506,491,1997,4.49656852602493,0.12407311098650098,4.620641637011431,True,PASS,1.0,822,94,916,0.8764871869934723,0.06935256998986006,0.9458397569833323,F-F-P
1883_B,B. Chemistry,medium,False,RUNTIME_ERROR,0.0,791,223,1014,2.045830673945602,0.023653428012039512,2.0694841019576415,False,WRONG_ANSWER,0.0,1828,351,2179,3.2439703670097515,0.021102625993080437,3.265072993002832,True,PASS,1.0,1015,172,1187,1.5914623999851756,0.021034460980445147,1.6124968609656207,F-F-P
1883_C,C. Raspberries,medium,False,RUNTIME_ERROR,0.0,793,259,1052,2.371924504986964,0.0757504099747166,2.4476749149616808,False,WRONG_ANSWER,0.6153846153846154,1873,464,2337,4.267592775984667,0.1075393280480057,4.375132104032673,False,WRONG_ANSWER,0.38461538461538464,1067,128,1195,1.1950293079717085,0.07168500497937202,1.2667143129510805,F-F-F
1899_A,A. Game with Integers,easy,True,PASS,1.0,335,76,411,0.6973075540154241,0.06808179896324873,0.7653893529786728,False,WRONG_ANSWER,0.15384615384615385,1016,389,1405,3.560476890008431,0.06520473299315199,3.625681623001583,True,PASS,1.0,525,68,593,0.6344089739723131,0.06527988601010293,0.699688859982416,P-F-P
1899_B,B. 250 Thousand Tons of TNT,hard,False,WRONG_ANSWER,0.15384615384615385,916,344,1260,3.1472458229982294,0.21072844899026677,3.357974271988496,False,RUNTIME_ERROR,0.0,2051,356,2407,3.296087910013739,0.08332859299844131,3.3794165030121803,False,WRONG_ANSWER,0.0,1170,330,1500,3.027443358034361,0.17298763402504846,3.2004309920594096,F-F-F
1899_C,C. Yarik and Array,hard,False,WRONG_ANSWER,0.6153846153846154,552,211,763,1.9308955050073564,0.14035723003325984,2.0712527350406162,False,WRONG_ANSWER,0.46153846153846156,1409,572,1981,5.233221374975983,0.15405960800126195,5.387280982977245,True,PASS,1.0,793,172,965,1.581170640012715,1.9465275699621998,3.527698209974915,F-F-P
1899_D,D. Yarik and Musical Notes,hard,False,WRONG_ANSWER,0.9230769230769231,806,179,985,1.646309931005817,0.17041488096583635,1.8167248119716533,False,WRONG_ANSWER,0.9230769230769231,1914,397,2311,3.6622032009763643,0.21192717598751187,3.874130376963876,True,PASS,1.0,1086,230,1316,2.116531247040257,0.17703186202561483,2.2935631090658717,F-F-P
abc301_a,Overall Winner,easy,False,WRONG_ANSWER,0.8666666666666667,404,92,496,0.8444183790124953,0.07552522997139022,0.9199436089838855,False,WRONG_ANSWER,0.8666666666666667,1133,440,1573,4.028465270937886,0.07431869499851018,4.102783965936396,False,WRONG_ANSWER,0.6666666666666666,574,117,691,1.0790313569596037,0.07916419598041102,1.1581955529400147,F-F-F
abc301_b,Fill the Gaps,easy,False,TIMEOUT,0.3,562,196,758,1.7992143839946948,35.056634170992766,36.85584855498746,False,WRONG_ANSWER,0.3,1382,372,1754,3.421432704955805,0.05433422001078725,3.4757669249665923,False,WRONG_ANSWER,0.3,785,151,936,1.3919234409695491,0.05376459803665057,1.4456880390061997,F-F-F
abc301_c,AtCoder Cards,medium,False,WRONG_ANSWER,0.5625,453,180,633,1.6498449689825065,0.14217246003681794,1.7920174290193245,False,RUNTIME_ERROR,0.25,1362,676,2038,6.173965438036248,0.16144670598441735,6.335412144020665,False,WRONG_ANSWER,0.6875,675,300,975,2.7357150180032477,0.14390320697566494,2.8796182249789126,F-F-F
