problem_id,difficulty,pattern,direct_passed,self_plan_passed,teacher_plan_passed,direct_test_pass_ratio,self_plan_test_pass_ratio,teacher_plan_test_pass_ratio
abc400_a,easy,F-F-F,False,False,False,0.0,0.0,0.2558139534883721
abc400_b,easy,P-P-F,True,True,False,1.0,1.0,0.20454545454545456
abc399_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc399_b,easy,F-F-P,False,False,True,0.0,0.022727272727272728,1.0
abc398_a,easy,F-F-P,False,False,True,0.07142857142857142,0.07142857142857142,1.0
abc397_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc396_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc396_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc395_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc395_a,easy,P-P-F,True,True,False,1.0,1.0,0.4883720930232558
abc394_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc394_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc393_a,easy,F-F-P,False,False,True,0.7380952380952381,0.0,1.0
abc393_b,easy,F-F-F,False,False,False,0.8372093023255814,0.8372093023255814,0.813953488372093
abc392_a,easy,F-P-P,False,True,True,0.0,1.0,1.0
abc392_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc391_a,easy,P-P-F,True,True,False,1.0,1.0,0.5
abc391_b,easy,P-F-P,True,False,True,1.0,0.21428571428571427,1.0
abc390_a,easy,F-F-P,False,False,True,0.3181818181818182,0.8636363636363636,1.0
abc390_b,easy,F-F-P,False,False,True,0.5348837209302325,0.9302325581395349,1.0
abc389_b,easy,F-F-P,False,False,True,0.7857142857142857,0.07142857142857142,1.0
abc389_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc388_b,easy,P-F-F,True,False,False,1.0,0.0,0.0
abc388_a,easy,P-P-F,True,True,False,1.0,1.0,0.09523809523809523
abc387_b,easy,P-P-F,True,True,False,1.0,1.0,0.0
abc387_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc386_a,easy,F-F-P,False,False,True,0.7333333333333333,0.7333333333333333,1.0
abc386_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc385_a,easy,F-F-P,False,False,True,0.5348837209302325,0.5348837209302325,1.0
abc385_b,easy,F-F-F,False,False,False,0.2558139534883721,0.046511627906976744,0.2558139534883721
abc384_b,easy,F-P-P,False,True,True,0.09302325581395349,1.0,1.0
abc384_a,easy,F-P-P,False,True,True,0.11363636363636363,1.0,1.0
abc383_a,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc382_a,easy,F-F-P,False,False,True,0.0,0.046511627906976744,1.0
abc382_b,easy,F-P-P,False,True,True,0.0,1.0,1.0
abc381_a,easy,F-P-F,False,True,False,0.6363636363636364,1.0,0.4318181818181818
