comparison,problem_id,difficulty,source_passed,target_passed,transition,source_test_pass_ratio,target_test_pass_ratio,test_pass_ratio_delta
Direct_TO_Self-Plan,abc400_a,easy,False,False,FAIL_TO_FAIL,0.0,0.0,0.0
Direct_TO_Self-Plan,abc400_b,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc399_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc399_b,easy,False,False,FAIL_TO_FAIL,0.0,0.022727272727272728,0.022727272727272728
Direct_TO_Self-Plan,abc398_a,easy,False,False,FAIL_TO_FAIL,0.07142857142857142,0.07142857142857142,0.0
Direct_TO_Self-Plan,abc397_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc396_b,easy,False,False,FAIL_TO_FAIL,0.0,0.0,0.0
Direct_TO_Self-Plan,abc396_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc395_b,easy,False,False,FAIL_TO_FAIL,0.0,0.0,0.0
Direct_TO_Self-Plan,abc395_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc394_b,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc394_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc393_a,easy,False,False,FAIL_TO_FAIL,0.7380952380952381,0.0,-0.7380952380952381
Direct_TO_Self-Plan,abc393_b,easy,False,False,FAIL_TO_FAIL,0.8372093023255814,0.8372093023255814,0.0
Direct_TO_Self-Plan,abc392_a,easy,False,True,FAIL_TO_PASS,0.0,1.0,1.0
Direct_TO_Self-Plan,abc392_b,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc391_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc391_b,easy,True,False,PASS_TO_FAIL,1.0,0.21428571428571427,-0.7857142857142857
Direct_TO_Self-Plan,abc390_a,easy,False,False,FAIL_TO_FAIL,0.3181818181818182,0.8636363636363636,0.5454545454545454
Direct_TO_Self-Plan,abc390_b,easy,False,False,FAIL_TO_FAIL,0.5348837209302325,0.9302325581395349,0.39534883720930236
Direct_TO_Self-Plan,abc389_b,easy,False,False,FAIL_TO_FAIL,0.7857142857142857,0.07142857142857142,-0.7142857142857143
