problem_id,difficulty,pattern,direct_passed,self_plan_passed,teacher_plan_passed,direct_test_pass_ratio,self_plan_test_pass_ratio,teacher_plan_test_pass_ratio
abc400_a,easy,F-F-P,False,False,True,0.2558139534883721,0.7441860465116279,1.0
abc400_b,easy,P-P-F,True,True,False,1.0,1.0,0.8181818181818182
abc399_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc399_b,easy,F-F-F,False,False,False,0.0,0.09090909090909091,0.09090909090909091
abc398_a,easy,F-F-F,False,False,False,0.0,0.0,0.9285714285714286
abc397_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc396_b,easy,F-F-F,False,False,False,0.47619047619047616,0.0,0.0
abc396_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc395_b,easy,F-F-F,False,False,False,0.0,0.0,0.0
abc395_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc394_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc394_a,easy,P-F-P,True,False,True,1.0,0.0,1.0
abc393_a,easy,F-F-P,False,False,True,0.42857142857142855,0.0,1.0
abc393_b,easy,F-F-F,False,False,False,0.813953488372093,0.7441860465116279,0.8372093023255814
abc392_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc392_b,easy,F-P-P,False,True,True,0.8837209302325582,1.0,1.0
abc391_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc391_b,easy,P-F-P,True,False,True,1.0,0.21428571428571427,1.0
abc390_a,easy,F-F-P,False,False,True,0.1590909090909091,0.8636363636363636,1.0
abc390_b,easy,P-P-F,True,True,False,1.0,1.0,0.5116279069767442
abc389_b,easy,F-P-P,False,True,True,0.14285714285714285,1.0,1.0
abc389_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc388_b,easy,F-F-F,False,False,False,0.0,0.0,0.6666666666666666
abc388_a,easy,P-F-P,True,False,True,1.0,0.9047619047619048,1.0
abc387_b,easy,F-F-F,False,False,False,0.0,0.0,0.046511627906976744
abc387_a,easy,P-F-P,True,False,True,1.0,0.0,1.0
abc386_a,easy,F-F-F,False,False,False,0.8,0.5555555555555556,0.7333333333333333
abc386_b,easy,F-F-F,False,False,False,0.09302325581395349,0.5813953488372093,0.7209302325581395
abc385_a,easy,F-F-P,False,False,True,0.6511627906976745,0.9302325581395349,1.0
abc385_b,easy,F-P-P,False,True,True,0.09302325581395349,1.0,1.0
abc384_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc384_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc383_a,easy,F-F-P,False,False,True,0.0,0.023255813953488372,1.0
abc382_a,easy,F-F-P,False,False,True,0.09302325581395349,0.046511627906976744,1.0
abc382_b,easy,F-F-F,False,False,False,0.0,0.09302325581395349,0.0
abc381_a,easy,F-F-F,False,False,False,0.6363636363636364,0.5681818181818182,0.5
abc381_b,easy,F-F-F,False,False,False,0.9767441860465116,0.8372093023255814,0.7674418604651163
abc380_a,easy,P-F-P,True,False,True,1.0,0.9318181818181818,1.0
abc380_b,easy,F-F-F,False,False,False,0.0,0.0,0.0
abc379_b,easy,F-F-P,False,False,True,0.6511627906976745,0.09302325581395349,1.0
abc379_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
