comparison,problem_id,difficulty,source_passed,target_passed,transition,source_test_pass_ratio,target_test_pass_ratio,test_pass_ratio_delta
Direct_TO_Self-Plan,abc400_a,easy,False,False,FAIL_TO_FAIL,0.2558139534883721,0.7441860465116279,0.4883720930232558
Direct_TO_Self-Plan,abc400_b,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc399_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc399_b,easy,False,False,FAIL_TO_FAIL,0.0,0.09090909090909091,0.09090909090909091
Direct_TO_Self-Plan,abc398_a,easy,False,False,FAIL_TO_FAIL,0.0,0.0,0.0
Direct_TO_Self-Plan,abc397_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc396_b,easy,False,False,FAIL_TO_FAIL,0.47619047619047616,0.0,-0.47619047619047616
Direct_TO_Self-Plan,abc396_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc395_b,easy,False,False,FAIL_TO_FAIL,0.0,0.0,0.0
Direct_TO_Self-Plan,abc395_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc394_b,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc394_a,easy,True,False,PASS_TO_FAIL,1.0,0.0,-1.0
Direct_TO_Self-Plan,abc393_a,easy,False,False,FAIL_TO_FAIL,0.42857142857142855,0.0,-0.42857142857142855
Direct_TO_Self-Plan,abc393_b,easy,False,False,FAIL_TO_FAIL,0.813953488372093,0.7441860465116279,-0.06976744186046513
Direct_TO_Self-Plan,abc392_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc392_b,easy,False,True,FAIL_TO_PASS,0.8837209302325582,1.0,0.11627906976744184
Direct_TO_Self-Plan,abc391_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc391_b,easy,True,False,PASS_TO_FAIL,1.0,0.21428571428571427,-0.7857142857142857
Direct_TO_Self-Plan,abc390_a,easy,False,False,FAIL_TO_FAIL,0.1590909090909091,0.8636363636363636,0.7045454545454546
Direct_TO_Self-Plan,abc390_b,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc389_b,easy,False,True,FAIL_TO_PASS,0.14285714285714285,1.0,0.8571428571428572
Direct_TO_Self-Plan,abc389_a,easy,True,True,PASS_TO_PASS,1.0,1.0,0.0
Direct_TO_Self-Plan,abc388_b,easy,False,False,FAIL_TO_FAIL,0.0,0.0,0.0
Direct_TO_Self-Plan,abc388_a,easy,True,False,PASS_TO_FAIL,1.0,0.9047619047619048,-0.09523809523809523
Direct_TO_Self-Plan,abc387_b,easy,False,False,FAIL_TO_FAIL,0.0,0.0,0.0
Direct_TO_Self-Plan,abc387_a,easy,True,False,PASS_TO_FAIL,1.0,0.0,-1.0
Direct_TO_Self-Plan,abc386_a,easy,False,False,FAIL_TO_FAIL,0.8,0.5555555555555556,-0.24444444444444446
