failure_type,count,proportion
Runtime Error / Input Parsing,5,0.19230769230769232
Wrong Answer / Omitted Plan Branch,2,0.07692307692307693
Wrong Answer / Incoherent Implementation,2,0.07692307692307693
Runtime Error / Type Error,2,0.07692307692307693
Wrong Answer / Incomplete Divisor Enumeration,1,0.038461538461538464
Wrong Answer / Inverted Condition,1,0.038461538461538464
Wrong Answer / Omitted Plan Constraint,1,0.038461538461538464
Runtime Error / Malformed BFS State,1,0.038461538461538464
Wrong Answer / Missing Initialization,1,0.038461538461538464
Wrong Answer / Misimplemented Recurrence,1,0.038461538461538464
Wrong Answer / Type Error in Comparison,1,0.038461538461538464
Runtime Error / Undefined Symbol,1,0.038461538461538464
Runtime Error / Index Base Mismatch,1,0.038461538461538464
Timeout / Missing Adjacency Structure,1,0.038461538461538464
Wrong Answer / Omitted Transition,1,0.038461538461538464
Runtime Error + Timeout / Malformed Fenwick Tree,1,0.038461538461538464
Wrong Answer / Incomplete Placement Enumeration,1,0.038461538461538464
Wrong Answer / Wrong Tie-Break and 0-Indexed Output,1,0.038461538461538464
Wrong Answer / Wrong Cycle Mapping,1,0.038461538461538464
