failure_type,RUNTIME_ERROR,TIMEOUT,WRONG_ANSWER,All
Runtime Error + Timeout / Malformed Fenwick Tree,0,1,0,1
Runtime Error / Index Base Mismatch,1,0,0,1
Runtime Error / Input Parsing,5,0,0,5
Runtime Error / Malformed BFS State,1,0,0,1
Runtime Error / Type Error,2,0,0,2
Runtime Error / Undefined Symbol,1,0,0,1
Timeout / Missing Adjacency Structure,0,1,0,1
Wrong Answer / Incoherent Implementation,0,0,2,2
Wrong Answer / Incomplete Divisor Enumeration,0,0,1,1
Wrong Answer / Incomplete Placement Enumeration,0,0,1,1
Wrong Answer / Inverted Condition,0,0,1,1
Wrong Answer / Misimplemented Recurrence,0,0,1,1
Wrong Answer / Missing Initialization,0,0,1,1
Wrong Answer / Omitted Plan Branch,0,0,2,2
Wrong Answer / Omitted Plan Constraint,0,0,1,1
Wrong Answer / Omitted Transition,0,0,1,1
Wrong Answer / Type Error in Comparison,0,0,1,1
Wrong Answer / Wrong Cycle Mapping,0,0,1,1
Wrong Answer / Wrong Tie-Break and 0-Indexed Output,0,0,1,1
All,10,2,14,26
