problem_id,coverage_group,num_plans,num_codes_per_plan,mean_q_binary,best_q_binary,best_mean_gap_binary,mean_q_tpr,best_q_tpr,best_mean_gap_tpr,between_plan_var_binary,within_plan_coder_var_binary,between_share_binary,within_share_binary,between_plan_var_tpr,num_usable_plans,num_stable_050_plans,num_stable_075_plans,num_perfect_plans,num_binary_zero_plans,num_binary_zero_tpr_positive,binary_zero_tpr_positive_rate,num_binary_zero_tpr_ge_025,binary_zero_tpr_ge_025_rate,num_binary_zero_tpr_ge_050,binary_zero_tpr_ge_050_rate,best_binary_plan_index,best_tpr_plan_index,best_plan_index_disagreement,binary_profile,q_binary_profile,q_tpr_profile
deepcoder_taco_00001,NO_COVERAGE,8,4,0.0,0.0,0.0,0.003125,0.025,0.021875000000000002,0.0,0.0,0.0,0.0,6.8359375e-05,0,0,0,0,8,1,0.125,0,0.0,0,0.0,0,5,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0250 | 0.0000 | 0.0000
deepcoder_taco_00020,NO_COVERAGE,8,4,0.0,0.0,0.0,0.00625,0.05,0.043750000000000004,0.0,0.0,0.0,0.0,0.0002734375,0,0,0,0,8,1,0.125,0,0.0,0,0.0,0,2,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0500 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00022,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00030,UNSTABLE_COVERAGE,8,4,0.125,0.25,0.125,0.209375,0.55,0.34062500000000007,0.015625,0.09375,0.14285714285714285,0.8571428571428571,0.028740234375000003,4,0,0,0,4,2,0.5,0,0.0,0,0.0,1,4,1,0/4 | 1/4 | 0/4 | 1/4 | 1/4 | 0/4 | 1/4 | 0/4,0.0000 | 0.2500 | 0.0000 | 0.2500 | 0.2500 | 0.0000 | 0.2500 | 0.0000,0.0000 | 0.2500 | 0.0000 | 0.2750 | 0.5500 | 0.1000 | 0.3000 | 0.2000
deepcoder_taco_00039,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00040,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00044,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00057,UNSTABLE_COVERAGE,8,4,0.3125,0.5,0.1875,0.34375,0.5,0.15625,0.02734375,0.1875,0.12727272727272726,0.8727272727272727,0.0265234375,7,3,0,0,1,0,0.0,0,0.0,0,0.0,5,5,0,1/4 | 1/4 | 1/4 | 0/4 | 1/4 | 2/4 | 2/4 | 2/4,0.2500 | 0.2500 | 0.2500 | 0.0000 | 0.2500 | 0.5000 | 0.5000 | 0.5000,0.2500 | 0.4000 | 0.2500 | 0.0000 | 0.3500 | 0.5000 | 0.5000 | 0.5000
deepcoder_taco_00061,UNSTABLE_COVERAGE,8,4,0.0625,0.25,0.1875,0.60625,0.7749999999999999,0.16874999999999996,0.01171875,0.046875,0.2,0.8,0.030429687499999997,2,0,0,0,6,6,1.0,5,0.8333333333333334,5,0.8333333333333334,1,6,1,0/4 | 1/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 1/4,0.0000 | 0.2500 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.2500,0.6250 | 0.7250 | 0.7000 | 0.5750 | 0.1750 | 0.6000 | 0.7750 | 0.6750
deepcoder_taco_00064,UNSTABLE_COVERAGE,8,4,0.03125,0.25,0.21875,0.34375,0.55,0.20625000000000004,0.0068359375,0.0234375,0.22580645161290322,0.7741935483870968,0.025898437500000003,1,0,0,0,7,7,1.0,5,0.7142857142857143,1,0.14285714285714285,6,2,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 1/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.0000,0.5000 | 0.0750 | 0.5500 | 0.3000 | 0.1250 | 0.3500 | 0.4750 | 0.3750
deepcoder_taco_00088,NO_COVERAGE,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0,0.0,0,0.0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
