problem_id,coverage_group,num_plans,mean_q4_binary,best_q4_binary,best_mean_gap_binary,mean_q4_tpr,best_q4_tpr,best_mean_gap_tpr,q4_binary_profile,q4_tpr_profile
deepcoder_taco_00001,NO_COVERAGE,8,0.0,0.0,0.0,0.003125,0.025,0.021875000000000002,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0250 | 0.0000 | 0.0000
deepcoder_taco_00020,NO_COVERAGE,8,0.0,0.0,0.0,0.00625,0.05,0.043750000000000004,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0500 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00022,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00030,UNSTABLE_COVERAGE,8,0.125,0.25,0.125,0.209375,0.55,0.34062500000000007,0.0000 | 0.2500 | 0.0000 | 0.2500 | 0.2500 | 0.0000 | 0.2500 | 0.0000,0.0000 | 0.2500 | 0.0000 | 0.2750 | 0.5500 | 0.1000 | 0.3000 | 0.2000
deepcoder_taco_00039,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00040,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00044,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00057,UNSTABLE_COVERAGE,8,0.3125,0.5,0.1875,0.34375,0.5,0.15625,0.2500 | 0.2500 | 0.2500 | 0.0000 | 0.2500 | 0.5000 | 0.5000 | 0.5000,0.2500 | 0.4000 | 0.2500 | 0.0000 | 0.3500 | 0.5000 | 0.5000 | 0.5000
deepcoder_taco_00061,UNSTABLE_COVERAGE,8,0.0625,0.25,0.1875,0.60625,0.775,0.16875000000000007,0.0000 | 0.2500 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.2500,0.6250 | 0.7250 | 0.7000 | 0.5750 | 0.1750 | 0.6000 | 0.7750 | 0.6750
deepcoder_taco_00064,UNSTABLE_COVERAGE,8,0.03125,0.25,0.21875,0.34375,0.5499999999999999,0.20624999999999993,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.0000,0.5000 | 0.0750 | 0.5500 | 0.3000 | 0.1250 | 0.3500 | 0.4750 | 0.3750
deepcoder_taco_00088,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00098,STABLE_COVERAGE,8,0.34375,1.0,0.65625,0.46875,1.0,0.53125,0.5000 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.7500 | 1.0000 | 0.2500,0.6000 | 0.1500 | 0.2000 | 0.1500 | 0.3750 | 0.8500 | 1.0000 | 0.4250
deepcoder_taco_00132,NO_COVERAGE,8,0.0,0.0,0.0,0.009375000000000001,0.025,0.015625,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0250 | 0.0250 | 0.0000 | 0.0000 | 0.0250
deepcoder_taco_00171,NO_COVERAGE,8,0.0,0.0,0.0,0.028124999999999997,0.175,0.14687499999999998,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.1750 | 0.0250 | 0.0000 | 0.0000 | 0.0250
deepcoder_taco_00200,UNSTABLE_COVERAGE,8,0.125,0.5,0.375,0.128125,0.525,0.39687500000000003,0.0000 | 0.2500 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.0000 | 0.5000,0.0000 | 0.2500 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.0000 | 0.5250
