problem_id,num_plans,num_codes_per_plan,total_codes,total_passed_codes,overall_code_pass_rate,mean_q_binary,best_q_binary,min_q_binary,best_mean_gap_binary,between_plan_var_binary,best_plan_index_binary,mean_q_tpr,best_q_tpr,min_q_tpr,best_mean_gap_tpr,between_plan_var_tpr,best_plan_index_tpr,num_plans_any_pass,num_plans_ge_050,num_plans_ge_075,num_plans_eq_100,any_pass_nxm,any_plan_usable,any_stable_050,any_stable_075,any_stable_100,binary_profile,q_binary_profile,q_tpr_profile
deepcoder_taco_00892,8,4,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00582,8,4,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_01029,8,4,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_01063,8,4,32,20,0.625,0.625,1.0,0.0,0.375,0.1875,0,0.85625,1.0,0.6,0.14375000000000004,0.024648437500000002,0,6,5,5,4,1,1,1,1,1,4/4 | 4/4 | 4/4 | 0/4 | 0/4 | 4/4 | 3/4 | 1/4,1.0000 | 1.0000 | 1.0000 | 0.0000 | 0.0000 | 1.0000 | 0.7500 | 0.2500,1.0000 | 1.0000 | 1.0000 | 0.7000 | 0.6000 | 1.0000 | 0.8500 | 0.7000
deepcoder_taco_00039,8,4,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00554,8,4,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08125,0.15,0.0,0.06874999999999999,0.0037109375,1,0,0,0,0,0,0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0500 | 0.1500 | 0.0000 | 0.0500 | 0.1500 | 0.1000 | 0.0000 | 0.1500
deepcoder_taco_00098,8,4,32,11,0.34375,0.34375,1.0,0.0,0.65625,0.1240234375,6,0.46875,1.0,0.15,0.53125,0.0913671875,6,5,3,2,1,1,1,1,1,1,2/4 | 0/4 | 0/4 | 0/4 | 1/4 | 3/4 | 4/4 | 1/4,0.5000 | 0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.7500 | 1.0000 | 0.2500,0.6000 | 0.1500 | 0.2000 | 0.1500 | 0.3750 | 0.8500 | 1.0000 | 0.4250
deepcoder_taco_00864,8,4,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00402,8,4,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.040625,0.1,0.0,0.059375000000000004,0.0013964843750000002,2,0,0,0,0,0,0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0250 | 0.0250 | 0.1000 | 0.0500 | 0.0250 | 0.0000 | 0.0000 | 0.1000
deepcoder_taco_00600,8,4,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00211,8,4,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3375,0.675,0.15000000000000002,0.3375,0.03296875,2,0,0,0,0,0,0,0,0,0,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.4750 | 0.2000 | 0.6750 | 0.2750 | 0.5250 | 0.1500 | 0.2000 | 0.2000
