step,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy,training/rollout_probs_diff_valid,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,training/rollout_actor_probs_pearson_corr,rollout_corr/training_ppl,rollout_corr/training_log_ppl,rollout_corr/kl,rollout_corr/k3_kl,rollout_corr/rollout_ppl,rollout_corr/rollout_log_ppl,rollout_corr/log_ppl_diff,rollout_corr/log_ppl_abs_diff,rollout_corr/log_ppl_diff_max,rollout_corr/log_ppl_diff_min,rollout_corr/ppl_ratio,rollout_corr/chi2_token,rollout_corr/chi2_seq,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/pg_loss,actor/loss,actor/grad_norm,actor/lr,actor/perf/max_memory_allocated_gb,actor/perf/max_memory_reserved_gb,actor/perf/cpu_memory_used_gb,perf/mfu/actor,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,response_length_non_aborted/mean,response_length_non_aborted/max,response_length_non_aborted/min,response_length_non_aborted/clip_ratio,response/aborted_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/old_log_prob,timing_s/adv,timing_s/update_actor,timing_s/update_weights,timing_s/step,timing_per_token_ms/gen,timing_per_token_ms/adv,timing_per_token_ms/update_actor,perf/total_num_tokens,perf/time_per_step,perf/throughput,training/num_turns/mean,training/num_turns/max,training/num_turns/min,timing_s/save_checkpoint,tpr_group_mean,tpr_group_min,tpr_group_max,tpr_group_range,group_informative,group_all_zero,group_all_one,group_constant_partial,group_any_positive,group_any_perfect,group_has_partial_reward,advantage_signal,nonzero_grad,nonzero_pg_loss
1.0,8622.0,8622.0,0.0,8622.0,8622.0,8622.0,0.8353644609451294,1.0,0.060567229986190796,0.004800457041710615,0.008195806294679642,0.9996288418769836,2.259936809539795,0.8080399632453918,0.0011084368452429771,0.0005267391097731888,2.258232355117798,0.8073269724845886,0.0007130727171897888,0.0021373331546783447,0.0050705671310424805,-0.005043387413024902,1.0007165670394897,-0.00011008977890014648,-0.020904242992401123,0.0,0.0,0.0,-0.2012348473072052,-0.2012348473072052,0.19012360274791718,1e-06,23.7958083152771,26.51953125,49.57515335083008,0.0,1.0,0.0,0.09166666865348816,0.3333333432674408,0.0,0.09166666865348816,0.3333333432674408,0.0,0.2012348175048828,1.6348191499710083,-0.6201037764549255,0.2012348175048828,1.6348191499710083,-0.6201037764549255,226.875,419.0,101.0,0.0625,226.875,419.0,101.0,0.0625,0.0,312.0,312.0,312.0,1.0,78.00585483713076,3.459566075820476,0.01694106077775359,4.840080645866692,2.1464645261876285,89.00699480483308,21.489216208575964,0.00196486439083201,0.5613640275883428,8622.0,89.00699480483308,96.868791255177,2.0,2.0,2.0,,0.09166666865348816,0.0,0.3333333432674408,0.3333333432674408,True,False,False,False,True,False,True,True,True,True
2.0,14479.0,14479.0,0.0,14479.0,14479.0,14479.0,0.6566460728645325,1.0,0.06193515658378601,0.003946272656321526,0.007484991569072008,0.9996863007545471,2.137632131576538,0.7321312427520752,6.993833812884986e-05,0.00040305920992977917,2.137786626815796,0.7321365475654602,-5.39049506187439e-06,0.001491352915763855,0.004037618637084961,-0.002854287624359131,0.9999963045120239,0.0014766454696655273,0.2331068515777588,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,24.03669261932373,27.32421875,49.69615936279297,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.9375,512.0,107.0,0.0625,253.9375,512.0,107.0,0.0625,0.0,651.0,651.0,651.0,1.0,69.00453402008861,2.8954302109777927,0.011980270966887474,5.65934101305902,2.103797025978565,80.1759217879735,16.983641156802513,0.00082742392201723,0.39086546122377375,14479.0,80.1759217879735,180.59037772325146,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False
3.0,12505.0,12505.0,0.0,12505.0,12505.0,12505.0,0.7754421234130859,1.0,0.06344455480575562,0.003961893264204264,0.0075945500284433365,0.9997032880783081,2.2155895233154297,0.7641503810882568,-0.0003079050511587411,0.00042797415517270565,2.216963052749634,0.7646844387054443,-0.0005340166389942169,0.0013821609318256378,0.0019028782844543457,-0.004164338111877441,0.9994672536849976,0.0023332834243774414,0.7415045499801636,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,24.03669261932373,27.97265625,49.82072830200195,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.5625,512.0,128.0,0.1875,317.5625,512.0,128.0,0.1875,0.0,464.0,464.0,464.0,1.0,891.0556057579815,2.6939911050722003,0.010560956317931414,5.083017836324871,2.1209134650416672,901.4665369479917,175.37012512457815,0.0008445386899585297,0.40647883537184093,12505.0,901.4665369479917,13.871840481552397,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False
4.0,28569.0,28569.0,0.0,28569.0,28569.0,28569.0,0.8047966361045837,1.0,0.06230154633522034,0.004104349296540022,0.0076700616627931595,0.9996986985206604,3.6197474002838135,0.9592793583869934,-0.00014635451952926815,0.0004648019094020128,3.6284031867980957,0.9594507217407227,-0.00017128139734268188,0.0016408786177635193,0.0034914612770080566,-0.006159782409667969,0.9998311400413513,0.002161741256713867,1.1833174228668213,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,24.516026973724365,28.203125,49.88793182373047,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.5625,512.0,53.0,0.25,333.5625,512.0,53.0,0.25,0.0,1452.0,1452.0,1452.0,1.0,197.0124348239042,4.284855531062931,0.010236422065645456,10.247744128108025,2.096819179598242,214.1538245351985,36.91445284315237,0.00035830522824199156,0.35870153411418054,28569.0,214.1538245351985,133.40410829461686,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False
5.0,9394.0,9394.0,0.0,9394.0,9394.0,9394.0,0.7186411619186401,1.0,0.061149030923843384,0.0040015955455601215,0.0076171765103936195,0.9996886253356934,2.192352771759033,0.7381527423858643,0.0002147344348486513,0.000449853774625808,2.191162586212158,0.7381139993667603,3.877095878124237e-05,0.0018719527870416641,0.004172682762145996,-0.004701197147369385,1.0000413656234741,0.0013654232025146484,0.37593138217926025,0.0,0.0,0.0,0.05062131956219673,0.05062131583690643,0.1685800850391388,1e-06,24.516026973724365,28.203125,49.84505081176758,0.0,5.0,0.0,0.7250000238418579,0.800000011920929,0.20000000298023224,0.7250000238418579,0.800000011920929,0.20000000298023224,-0.05062134191393852,0.3659606873989105,-2.561725378036499,-0.05062134191393852,0.3659606873989105,-2.561725378036499,252.125,405.0,82.0,0.0625,252.125,405.0,82.0,0.0625,0.0,335.0,335.0,335.0,1.0,56.00435652770102,2.346120893023908,0.011795324739068747,4.072599907871336,2.07170579303056,65.01083198189735,13.88308292704537,0.001255623242396077,0.4335320319215814,9394.0,65.01083198189735,144.49899676127532,2.0,2.0,2.0,,0.7250000238418579,0.20000000298023224,0.800000011920929,0.6000000089406967,True,False,False,False,True,False,True,True,True,True
6.0,18452.0,18452.0,0.0,18452.0,18452.0,18452.0,0.6211455464363098,1.0,0.05304214358329773,0.0034793515224009752,0.007143826689571142,0.9997097253799438,2.0713915824890137,0.6867210865020752,0.0004132819303777069,0.0003672310267575085,2.070296287536621,0.6862869262695312,0.00043419376015663147,0.000934254378080368,0.0023589730262756348,-0.002045750617980957,1.0004348754882812,0.000641942024230957,-0.08326071500778198,0.0,0.0,0.0,-0.05650666728615761,-0.05650666356086731,0.14215287566184998,1e-06,24.516026973724365,28.203125,50.087745666503906,0.0,6.0,0.0,0.0416666679084301,0.06666667014360428,0.0,0.0416666679084301,0.06666667014360428,0.0,0.056506622582674026,0.7499775886535645,-1.249962568283081,0.056506622582674026,0.7499775886535645,-1.249962568283081,284.25,512.0,104.0,0.0625,284.25,512.0,104.0,0.0625,0.0,869.0,869.0,869.0,1.0,328.0236691990867,3.2574635562486947,0.010615272913128138,6.680936296936125,2.089617389254272,340.57296032784507,72.12481732609646,0.0005752911832391143,0.3620711194957796,18452.0,340.57296032784507,54.179286524207875,2.0,2.0,2.0,,0.0416666679084301,0.0,0.06666667014360428,0.06666667014360428,True,False,False,False,True,False,True,True,True,True
7.0,18994.0,18994.0,0.0,18994.0,18994.0,18994.0,0.788783073425293,1.0,0.061418890953063965,0.0041376096196472645,0.007641611620783806,0.9996939301490784,2.310232400894165,0.8098202347755432,0.00015817355597391725,0.0004882191133219749,2.3099093437194824,0.8096786737442017,0.00014156103134155273,0.0014422759413719177,0.003592073917388916,-0.0029820799827575684,1.000143051147461,0.0016373395919799805,0.4803431034088135,0.0,0.0,0.0,-0.032611969858407974,-0.03261197730898857,0.15180957317352295,1e-06,24.516026973724365,28.203125,49.93471908569336,0.0,7.0,0.0,0.07500000298023224,0.699999988079071,0.0,0.07500000298023224,0.699999988079071,0.0,0.032612018287181854,3.2061660289764404,-0.3847399353981018,0.032612018287181854,3.2061660289764404,-0.3847399353981018,313.125,512.0,122.0,0.0625,313.125,512.0,122.0,0.0625,0.0,874.0,874.0,874.0,1.0,128.00882197218016,3.2794368392787874,0.010772293899208307,6.856330851092935,2.0954284062609076,140.76191062713042,25.550663068299432,0.0005671419342533593,0.36097351011334816,18994.0,140.76191062713042,134.93707150874025,2.0,2.0,2.0,,0.07500000298023224,0.0,0.699999988079071,0.699999988079071,True,False,False,False,True,False,True,True,True,True
8.0,15823.0,15823.0,0.0,15823.0,15823.0,15823.0,0.7631558179855347,1.0,0.056659162044525146,0.004045933950692415,0.007498514372855425,0.9996968507766724,2.255115509033203,0.7827618718147278,0.0006997329764999449,0.00042397200013510883,2.253126382827759,0.7821900844573975,0.00057172030210495,0.0018762126564979553,0.0051250457763671875,-0.003970742225646973,1.0005745887756348,0.00029587745666503906,0.18979358673095703,0.0,0.0,0.0,0.02571258693933487,0.02571258693933487,0.13788145780563354,1e-06,24.516026973724365,28.203125,49.97163391113281,0.0,8.0,0.0,0.10000000149011612,1.0,0.0,0.10000000149011612,1.0,0.0,-0.0257126297801733,3.4179818630218506,-0.3797757923603058,-0.0257126297801733,3.4179818630218506,-0.3797757923603058,264.9375,512.0,117.0,0.125,264.9375,512.0,117.0,0.125,0.0,724.0,724.0,724.0,1.0,64.00465071806684,2.980582905933261,0.010695917066186666,5.97590755391866,2.0841370597481728,75.55969955632463,15.098997574443699,0.0006759727653533885,0.3776722210654528,15823.0,75.55969955632463,209.41057326736757,2.0,2.0,2.0,,0.10000000149011612,0.0,1.0,1.0,True,False,False,False,True,True,True,True,True,True
9.0,17526.0,17526.0,0.0,17526.0,17526.0,17526.0,1.0000896453857422,1.0,0.06002882122993469,0.004564950708299875,0.00781331118196249,0.9996944069862366,3.0671169757843018,1.0683550834655762,0.0005090896738693118,0.0005156631232239306,3.0638267993927,1.067613124847412,0.0007420144975185394,0.0015934742987155914,0.005784153938293457,-0.001253664493560791,1.000744342803955,0.0010465383529663086,0.0010149478912353516,0.0,0.0,0.0,0.053858241997659206,0.05385824292898178,0.19312848150730133,1e-06,24.516026973724365,28.203125,49.949928283691406,0.0,9.0,0.0,0.1015625,0.375,0.0,0.1015625,0.375,0.0,-0.05385822802782059,1.973056674003601,-0.7328495979309082,-0.05385822802782059,1.973056674003601,-0.7328495979309082,235.375,393.0,110.0,0.0625,235.375,393.0,110.0,0.0625,0.0,860.0,860.0,860.0,1.0,94.00608244212344,3.1276694531552494,0.009759441949427128,6.362211124971509,2.082118005026132,106.09118824079633,24.96178503508323,0.0005568550695781769,0.36301558398787565,17526.0,106.09118824079633,165.1975087716149,2.0,2.0,2.0,,0.1015625,0.0,0.375,0.375,True,False,False,False,True,False,True,True,True,True
10.0,18070.0,18070.0,0.0,18070.0,18070.0,18070.0,0.7769055366516113,1.0,0.05859893560409546,0.004454446490854025,0.008096427656710148,0.999642550945282,2.3122172355651855,0.807430624961853,5.028798113926314e-05,0.0004433166468515992,2.3114659786224365,0.8073044419288635,0.0001262407749891281,0.0013076681643724442,0.002785205841064453,-0.003163754940032959,1.0001275539398193,0.0016742944717407227,0.3569765090942383,0.0,0.0,0.0,0.07009214907884598,0.07009215652942657,0.1452801376581192,1e-06,24.516026973724365,28.203125,49.97879409790039,0.0,10.0,0.0,0.05416666716337204,0.8666666746139526,0.0,0.05416666716337204,0.8666666746139526,0.0,-0.0700920820236206,3.7499825954437256,-0.24999885261058807,-0.0700920820236206,3.7499825954437256,-0.24999885261058807,297.375,455.0,125.0,0.0625,297.375,455.0,125.0,0.0625,0.0,832.0,832.0,832.0,1.0,151.0101360133849,3.170360103715211,0.010206460021436214,6.488081504125148,2.0787221123464406,163.2587673761882,31.738153848966984,0.0005648289995260772,0.3590526565647564,18070.0,163.2587673761882,110.68318284164363,2.0,2.0,2.0,,0.05416666716337204,0.0,0.8666666746139526,0.8666666746139526,True,False,False,False,True,False,True,True,True,True
