problem_id,difficulty,before_pass,after_pass,transition,before_test_pass_ratio,after_test_pass_ratio,test_pass_ratio_delta,before_status,after_status
"abc342_c","medium","False","False","both_fail","0.20000000","0.20000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc343_c","medium","False","False","both_fail","0.40000000","0.40000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc343_d","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc344_c","medium","False","False","both_fail","0.09523810","0.09523810","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc346_c","medium","False","False","both_fail","0.27272727","0.27272727","0.00000000","TIME_LIMIT_EXCEEDED","TIME_LIMIT_EXCEEDED"
"abc346_d","medium","False","False","both_fail","0.17391304","0.17391304","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc347_c","medium","False","False","both_fail","0.39285714","0.39285714","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc348_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc348_b","easy","False","True","recovered","0.86363636","1.00000000","0.13636364","WRONG_ANSWER","PASS"
"abc348_c","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc349_a","easy","False","False","both_fail","0.10000000","0.10000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc349_b","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc349_c","medium","False","False","both_fail","0.50000000","0.21428571","-0.28571429","WRONG_ANSWER","TIME_LIMIT_EXCEEDED"
"abc350_a","easy","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc350_b","easy","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc350_d","medium","False","False","both_fail","0.00000000","0.21428571","0.21428571","RUNTIME_ERROR","TIME_LIMIT_EXCEEDED"
"abc351_a","easy","False","False","both_fail","0.08333333","0.41666667","0.33333333","WRONG_ANSWER","WRONG_ANSWER"
"abc351_b","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc351_c","medium","False","False","both_fail","0.11111111","0.18518519","0.07407407","TIME_LIMIT_EXCEEDED","TIME_LIMIT_EXCEEDED"
"abc352_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc352_b","easy","False","False","both_fail","0.09090909","0.09090909","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc352_c","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc353_a","easy","False","False","both_fail","0.26666667","0.26666667","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc353_b","easy","False","False","both_fail","0.00000000","0.00000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc353_c","medium","False","False","both_fail","0.18181818","0.18181818","0.00000000","TIME_LIMIT_EXCEEDED","TIME_LIMIT_EXCEEDED"
"abc353_d","medium","False","False","both_fail","0.13636364","0.13636364","0.00000000","TIME_LIMIT_EXCEEDED","TIME_LIMIT_EXCEEDED"
"abc354_a","easy","False","False","both_fail","0.73913043","0.73913043","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc354_b","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc354_c","medium","False","False","both_fail","0.05882353","0.05882353","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc355_a","easy","False","False","both_fail","0.58333333","0.33333333","-0.25000000","WRONG_ANSWER","WRONG_ANSWER"
"abc355_b","easy","False","False","both_fail","0.60000000","0.60000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc355_c","medium","False","False","both_fail","0.07142857","0.07142857","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc355_d","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc356_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc356_b","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc356_c","medium","False","False","both_fail","0.45161290","0.45161290","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc356_d","medium","False","False","both_fail","0.12903226","0.16129032","0.03225806","WRONG_ANSWER","WRONG_ANSWER"
"abc357_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc357_b","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc357_c","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","TIME_LIMIT_EXCEEDED","WRONG_ANSWER"
"abc357_d","medium","False","False","both_fail","0.17391304","0.17391304","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc358_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc358_b","easy","False","False","both_fail","0.00000000","0.00000000","0.00000000","WRONG_ANSWER","RUNTIME_ERROR"
"abc358_c","medium","False","False","both_fail","0.39130435","0.00000000","-0.39130435","WRONG_ANSWER","RUNTIME_ERROR"
"abc358_d","medium","False","False","both_fail","0.26086957","0.26086957","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc359_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc359_b","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc359_c","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","TIME_LIMIT_EXCEEDED","TIME_LIMIT_EXCEEDED"
"abc360_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc360_b","easy","False","False","both_fail","0.43478261","0.00000000","-0.43478261","WRONG_ANSWER","RUNTIME_ERROR"
"abc360_c","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc360_d","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc361_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc361_b","medium","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc361_c","medium","False","False","both_fail","0.09677419","0.09677419","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc362_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc362_b","easy","False","False","both_fail","0.69565217","0.69565217","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc362_c","medium","False","False","both_fail","0.06451613","0.00000000","-0.06451613","TIME_LIMIT_EXCEEDED","RUNTIME_ERROR"
"abc363_a","easy","False","False","both_fail","0.14285714","0.14285714","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc363_b","easy","False","False","both_fail","0.34782609","0.34782609","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc363_c","medium","False","False","both_fail","0.03225806","0.41935484","0.38709677","RUNTIME_ERROR","WRONG_ANSWER"
"abc363_d","medium","False","False","both_fail","0.05000000","0.05000000","0.00000000","TIME_LIMIT_EXCEEDED","TIME_LIMIT_EXCEEDED"
"abc364_a","easy","False","False","both_fail","0.10526316","0.10526316","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc364_b","easy","True","False","regressed","1.00000000","0.33333333","-0.66666667","PASS","WRONG_ANSWER"
"abc364_c","medium","False","False","both_fail","0.21739130","0.00000000","-0.21739130","RUNTIME_ERROR","WRONG_ANSWER"
"abc365_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc365_b","easy","False","False","both_fail","0.26666667","0.26666667","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc365_c","medium","True","False","regressed","1.00000000","0.00000000","-1.00000000","PASS","WRONG_ANSWER"
"abc365_d","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc366_a","easy","False","False","both_fail","0.76190476","0.76190476","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc366_b","easy","False","False","both_fail","0.10000000","0.10000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc366_c","medium","False","False","both_fail","0.45000000","0.45000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc366_d","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc367_a","easy","False","False","both_fail","0.57142857","0.57142857","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc367_b","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc367_c","medium","False","False","both_fail","0.19047619","0.52380952","0.33333333","WRONG_ANSWER","WRONG_ANSWER"
"abc367_d","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","TIME_LIMIT_EXCEEDED","TIME_LIMIT_EXCEEDED"
"abc368_a","easy","False","False","both_fail","0.40000000","0.40000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc368_b","easy","False","False","both_fail","0.00000000","0.00000000","0.00000000","TIME_LIMIT_EXCEEDED","TIME_LIMIT_EXCEEDED"
"abc368_c","medium","False","False","both_fail","0.23809524","0.23809524","0.00000000","TIME_LIMIT_EXCEEDED","TIME_LIMIT_EXCEEDED"
"abc369_a","easy","False","False","both_fail","0.33333333","0.33333333","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc369_b","easy","False","False","both_fail","0.15000000","0.05000000","-0.10000000","WRONG_ANSWER","WRONG_ANSWER"
"abc369_c","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc369_d","medium","False","False","both_fail","0.14814815","0.14814815","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc370_a","easy","False","False","both_fail","0.75000000","0.75000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc370_b","easy","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc370_c","medium","False","False","both_fail","0.00000000","0.04761905","0.04761905","WRONG_ANSWER","TIME_LIMIT_EXCEEDED"
"abc370_d","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc371_a","easy","False","False","both_fail","0.16666667","0.00000000","-0.16666667","WRONG_ANSWER","WRONG_ANSWER"
"abc371_b","easy","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc371_c","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc371_d","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc372_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc372_c","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc372_d","medium","False","False","both_fail","0.07142857","0.07142857","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc373_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc373_b","easy","False","False","both_fail","0.10000000","0.10000000","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc373_c","medium","False","False","both_fail","0.25000000","0.15000000","-0.10000000","WRONG_ANSWER","TIME_LIMIT_EXCEEDED"
"abc374_a","easy","True","True","both_pass","1.00000000","1.00000000","0.00000000","PASS","PASS"
"abc374_b","easy","False","False","both_fail","0.44000000","0.52000000","0.08000000","WRONG_ANSWER","WRONG_ANSWER"
"abc374_c","medium","False","False","both_fail","0.13333333","0.13333333","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
"abc374_d","medium","False","False","both_fail","0.00000000","0.00000000","0.00000000","RUNTIME_ERROR","RUNTIME_ERROR"
"abc375_a","easy","False","True","recovered","0.69565217","1.00000000","0.30434783","RUNTIME_ERROR","PASS"
"abc375_b","easy","False","False","both_fail","0.07142857","0.07142857","0.00000000","WRONG_ANSWER","WRONG_ANSWER"
